"","bigram","n"
"990","people like",17
"991","play somethin",17
"992","prime time",17
"993","punks dope",17
"994","right come",17
"995","right feelin",17
"996","right leave",17
"997","saddest life",17
"998","see better",17
"999","share care",17
"1000","soldier heart",17
"1001","song write",17
"1002","soon come",17
"1003","stand look",17
"1004","stand need",17
"1005","stay long",17
"1006","stealin time",17
"1007","stone stone",17
"1008","strong boogie",17
"1009","summer love",17
"1010","tell baby",17
"1011","tell want",17
"1012","thing sweet",17
"1013","things say",17
"1014","time cool",17
"1015","time dream",17
"1016","time lovin",17
"1017","time real",17
"1018","time roll",17
"1019","tire tire",17
"1020","touch hand",17
"1021","treat like",17
"1022","try best",17
"1023","unnu vampire",17
"1024","wanna hear",17
"1025","wanna night",17
"1026","wish christmas",17
"1027","wonder wonder",17
"1028","word kill",17
"1029","wrong long",17
"1030","wrong time",17
"1031","yeah long",17
"1032","yeah wanna",17
"1033","action speak",16
"1034","arm feel",16
"1035","away walk",16
"1036","babylon queendom",16
"1037","better life",16
"1038","blood blood",16
"1039","blow wind",16
"1040","bout girl",16
"1041","break glass",16
"1042","bucket hole",16
"1043","build house",16
"1044","burn burn",16
"1045","career evil",16
"1046","change live",16
"1047","come easy",16
"1048","come live",16
"1049","come long",16
"1050","come quickly",16
"1051","come smile",16
"1052","comin better",16
"1053","cry night",16
"1054","department youth",16
"1055","dirty white",16
"1056","drop drop",16
"1057","earth live",16
"1058","ease pain",16
"1059","easy easy",16
"1060","everybody make",16
"1061","everybody play",16
"1062","feel people",16
"1063","feet grind",16
"1064","fever night",16
"1065","follow mind",16
"1066","game time",16
"1067","girl baby",16
"1068","go sing",16
"1069","go southbound",16
"1070","gonna fight",16
"1071","gonna momma",16
"1072","gonna stay",16
"1073","grind givin",16
"1074","hear people",16
"1075","heart leave",16
"1076","heavy heavy",16
"1077","hour daylight",16
"1078","know cold",16
"1079","know everybody",16
"1080","know hear",16
"1081","leave baby",16
"1082","leave hand",16
"1083","leave world",16
"1084","life hole",16
"1085","light life",16
"1086","like night",16
"1087","like yeah",16
"1088","live long",16
"1089","livin high",16
"1090","locusts sing",16
"1091","lonely streets",16
"1092","long come",16
"1093","look mirror",16
"1094","lose inside",16
"1095","lose lonely",16
"1096","louder word",16
"1097","main nerve",16
"1098","make career",16
"1099","make difference",16
"1100","make want",16
"1101","makin everybody",16
"1102","mind business",16
"1103","mind late",16
"1104","morning potato",16
"1105","movin montana",16
"1106","nananow nananow",16
"1107","nature plan",16
"1108","need breathe",16
"1109","needle pin",16
"1110","night gonna",16
"1111","pass peas",16
"1112","peace pipe",16
"1113","people feel",16
"1114","people go",16
"1115","pick piece",16
"1116","plan tomorrow",16
"1117","play piano",16
"1118","play time",16
"1119","queendom fall",16
"1120","rain heart",16
"1121","remember days",16
"1122","right eye",16
"1123","rivers cross",16
"1124","roll band",16
"1125","say say",16
"1126","shine shine",16
"1127","sittin dock",16
"1128","sleep midday",16
"1129","song go",16
"1130","space time",16
"1131","speak louder",16
"1132","speak word",16
"1133","stand hour",16
"1134","stay alive",16
"1135","step life",16
"1136","street kid",16
"1137","strike band",16
"1138","summer long",16
"1139","swing sweet",16
"1140","tell need",16
"1141","things come",16
"1142","time stay",16
"1143","time sweet",16
"1144","tonight night",16
"1145","track mind",16
"1146","true romance",16
"1147","tweet tweet",16
"1148","want believe",16
"1149","want leave",16
"1150","word action",16
"1151","word come",16
"1152","workin hard",16
"1153","world outside",16
"1154","worry bout",16
"1155","yeah black",16
"1156","yeah feel",16
"1157","yeah go",16
"1158","away baby",15
"1159","away look",15
"1160","away night",15
"1161","away run",15
"1162","away think",15
"1163","baby life",15
"1164","baby ready",15
"1165","bear dead",15
"1166","best thing",15
"1167","better start",15
"1168","black night",15
"1169","blame blame",15
"1170","break spell",15
"1171","cause like",15
"1172","cause need",15
"1173","come creepin",15
"1174","come feel",15
